,id,city,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,rent_price,country
13877,7865,"Atalaya, Madrid",342.0,4,5,1319000,3857,0,Atalaya
13878,7864,"Colina, Madrid",106.0,2,2,750000,7075,0,Colina
13879,7863,"Colina, Madrid",128.0,3,2,880000,6875,0,Colina
13880,7862,"Colina, Madrid",106.0,2,2,740000,6981,0,Colina
13881,7861,"Colina, Madrid",65.0,2,1,265000,4077,0,Colina
13882,7860,"Ventas, Madrid",113.0,3,2,307500,2721,0,Ventas
13883,7859,"Quintana, Madrid",52.0,2,1,143000,2750,0,Quintana
13884,7858,"ConcepciÃ³n, Madrid",134.0,4,2,450000,3358,0,ConcepciÃ³n
13885,7857,"Ventas, Madrid",78.0,3,1,165000,2115,0,Ventas
13886,7856,"Ventas, Madrid",66.0,3,1,175000,2652,0,Ventas
13888,7854,"Pueblo Nuevo, Madrid",63.0,2,1,159000,2524,0,Pueblo Nuevo
13889,7853,"Ciudad Lineal, Madrid",123.0,4,2,435000,3537,0,Ciudad Lineal
13890,7852,"ConcepciÃ³n, Madrid",44.0,1,1,145000,3295,0,ConcepciÃ³n
13891,7851,"ConcepciÃ³n, Madrid",72.0,2,2,260000,3611,0,ConcepciÃ³n
13892,7850,"Pueblo Nuevo, Madrid",91.0,2,2,252400,2774,0,Pueblo Nuevo
13893,7849,"Pueblo Nuevo, Madrid",85.0,2,2,278000,3271,0,Pueblo Nuevo
13894,7848,"Pueblo Nuevo, Madrid",85.0,2,2,273000,3212,0,Pueblo Nuevo
13895,7847,"Ciudad Lineal, Madrid",69.0,2,1,101000,1464,0,Ciudad Lineal
13896,7846,"Ciudad Lineal, Madrid",71.0,2,1,310000,4366,0,Ciudad Lineal
13897,7845,"Ciudad Lineal, Madrid",240.0,4,4,1100000,4583,0,Ciudad Lineal
13898,7844,"Quintana, Madrid",58.0,2,1,185000,3190,0,Quintana
13899,7843,"ConcepciÃ³n, Madrid",104.0,3,2,550000,5288,0,ConcepciÃ³n
13900,7842,"Quintana, Madrid",52.0,2,1,139000,2673,0,Quintana
13901,7841,"Pueblo Nuevo, Madrid",50.0,2,1,135000,2700,0,Pueblo Nuevo
13902,7840,"Ventas, Madrid",70.0,3,1,159000,2271,0,Ventas
13903,7839,"Ciudad Lineal, Madrid",292.0,7,3,895000,3065,0,Ciudad Lineal
13904,7838,"Ciudad Lineal, Madrid",119.0,2,2,535000,4496,0,Ciudad Lineal
13905,7837,"Ciudad Lineal, Madrid",176.0,5,3,625000,3551,0,Ciudad Lineal
13906,7836,"Ciudad Lineal, Madrid",136.0,3,3,1220000,8971,0,Ciudad Lineal
13907,7835,"Ciudad Lineal, Madrid",128.0,3,3,1090000,8516,0,Ciudad Lineal
13908,7834,"Ciudad Lineal, Madrid",105.0,2,2,770000,7333,0,Ciudad Lineal
